,gene1,gene2,result
0,G:HGNC:7849,G:HGNC:7851,"Meta path:['GTG'], rank is 25 and total rank is 576"
1,G:HGNC:3435,G:HGNC:26220,"Meta path:['GMDMG'], rank is 1 and total rank is 645"
2,G:HGNC:16253,G:HGNC:11278,"Meta path:['GPdPG'], rank is 2 and total rank is 15"
3,G:HGNC:7717,G:HGNC:7716,"Meta path:['GDG'], rank is 1 and total rank is 5"
4,G:HGNC:14129,G:HGNC:24650,"Meta path:['GTG'], rank is 1 and total rank is 490"
5,G:HGNC:393,G:HGNC:6863,"Meta path:['GTG'], rank is 33 and total rank is 544"
6,G:HGNC:9314,G:HGNC:15566,"Meta path:['GTG'], rank is 125 and total rank is 578"
7,G:HGNC:8905,G:HGNC:8906,"Meta path:['GTG'], rank is 1 and total rank is 450"
8,G:HGNC:251,G:HGNC:255,"Meta path:['GTG'], rank is 3 and total rank is 273"
9,G:HGNC:2460,G:HGNC:9381,"Meta path:['GTG'], rank is 137 and total rank is 617"
10,G:HGNC:8784,G:HGNC:8787,"Meta path:['GPdPG'], rank is 16 and total rank is 53"
11,G:HGNC:8592,G:HGNC:9402,"Meta path:['GPdPG'], rank is 3 and total rank is 44"
12,G:HGNC:10540,G:HGNC:23160,"Meta path:['GTG', 'GMG'], rank is 1 and total rank is 423"
13,G:HGNC:9416,G:HGNC:9395,"Meta path:['GTG'], rank is 183 and total rank is 618"
14,G:HGNC:18080,G:HGNC:10871,"Meta path:['GTG'], rank is 5 and total rank is 214"
15,G:HGNC:8787,G:HGNC:8779,"Meta path:['GPdPG'], rank is 6 and total rank is 28"
16,G:HGNC:19316,G:HGNC:19317,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
17,G:HGNC:6863,G:HGNC:11399,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
18,G:HGNC:4131,G:HGNC:23233,"Meta path:['GTG'], rank is 8 and total rank is 205"
19,G:HGNC:5194,G:HGNC:5195,"Meta path:['GTG'], rank is 4 and total rank is 151"
20,G:HGNC:9381,G:HGNC:9403,"Meta path:['GTG'], rank is 65 and total rank is 594"
21,G:HGNC:22140,G:HGNC:9416,"Meta path:['GTG'], rank is 159 and total rank is 417"
22,G:HGNC:813,G:HGNC:817,"Meta path:['GTG'], rank is 60 and total rank is 540"
23,G:HGNC:9416,G:HGNC:9413,"Meta path:['GMDMG'], rank is 133 and total rank is 3084"
24,G:HGNC:3516,G:HGNC:3518,"Meta path:['GTG'], rank is 1 and total rank is 294"
25,G:HGNC:16637,G:HGNC:29958,"Meta path:['GTG'], rank is 93 and total rank is 432"
26,G:HGNC:7458,G:HGNC:7708,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
27,G:HGNC:9302,G:HGNC:9300,"Meta path:['GTG'], rank is 39 and total rank is 566"
28,G:HGNC:811,G:HGNC:13211,"Meta path:['GTG'], rank is 8 and total rank is 415"
29,G:HGNC:8590,G:HGNC:9380,"Meta path:['GPdPG'], rank is 34 and total rank is 64"
30,G:HGNC:9410,G:HGNC:18133,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
31,G:HGNC:2285,G:HGNC:2277,"Meta path:['GTG'], rank is 5 and total rank is 206"
32,G:HGNC:18133,G:HGNC:9413,"Meta path:['GTG'], rank is 290 and total rank is 749"
33,G:HGNC:9611,G:HGNC:10481,"Meta path:['GTG', 'GMG'], rank is 119 and total rank is 825"
34,G:HGNC:1973,G:HGNC:5201,"Meta path:['GTG'], rank is 42 and total rank is 226"
35,G:HGNC:9299,G:HGNC:15566,"Meta path:['GTG'], rank is 78 and total rank is 562"
36,G:HGNC:9286,G:HGNC:9288,"Meta path:['GTG'], rank is 4 and total rank is 275"
37,G:HGNC:5330,G:HGNC:29685,"Meta path:['GPdPG', 'GTG', 'GMG'], rank is 1 and total rank is 4"
38,G:HGNC:9299,G:HGNC:9318,"Meta path:['GTG'], rank is 380 and total rank is 504"
39,G:HGNC:21531,G:HGNC:22946,"Meta path:['GTG'], rank is 2 and total rank is 236"
40,G:HGNC:5194,G:HGNC:5196,"Meta path:['GPdPG', 'GTG'], rank is 1 and total rank is 10"
41,G:HGNC:9304,G:HGNC:9307,"Meta path:['GTG'], rank is 15 and total rank is 369"
42,G:HGNC:9306,G:HGNC:9300,"Meta path:['GMDpDMG'], rank is 13 and total rank is 3582"
43,G:HGNC:393,G:HGNC:9403,"Meta path:['GTG'], rank is 38 and total rank is 571"
44,G:HGNC:9611,G:HGNC:8031,"Meta path:['GPdPG'], rank is 14 and total rank is 65"
45,G:HGNC:9036,G:HGNC:27396,"Meta path:['GTG'], rank is 8 and total rank is 345"
46,G:HGNC:817,G:HGNC:816,"Meta path:['GTG'], rank is 13 and total rank is 556"
47,G:HGNC:8931,G:HGNC:8930,"Meta path:['GTG'], rank is 1 and total rank is 378"
48,G:HGNC:11455,G:HGNC:30004,"Meta path:['GTG'], rank is 13 and total rank is 264"
49,G:HGNC:4127,G:HGNC:30488,"Meta path:['GTG'], rank is 2 and total rank is 239"
50,G:HGNC:9276,G:HGNC:28110,"Meta path:['GTG'], rank is 12 and total rank is 378"
51,G:HGNC:4127,G:HGNC:19873,"Meta path:['GTG'], rank is 6 and total rank is 241"
52,G:HGNC:19342,G:HGNC:23317,"Meta path:['GTG'], rank is 19 and total rank is 177"
53,G:HGNC:11408,G:HGNC:13480,"Meta path:['GTG'], rank is 175 and total rank is 668"
54,G:HGNC:28110,G:HGNC:9307,"Meta path:['GTG'], rank is 26 and total rank is 288"
55,G:HGNC:8590,G:HGNC:11399,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
56,G:HGNC:8957,G:HGNC:8960,"Meta path:['GTG'], rank is 6 and total rank is 275"
57,G:HGNC:9314,G:HGNC:9319,"Meta path:['GTG'], rank is 129 and total rank is 568"
58,G:HGNC:3655,G:HGNC:2444,"Meta path:['GPdPG'], rank is 6 and total rank is 46"
59,G:HGNC:29149,G:HGNC:28110,"Meta path:['GTG'], rank is 10 and total rank is 384"
60,G:HGNC:3386,G:HGNC:3763,"Meta path:['GPdPG'], rank is 24 and total rank is 64"
61,G:HGNC:30040,G:HGNC:17825,"Meta path:['GTG'], rank is 18 and total rank is 424"
62,G:HGNC:6524,G:HGNC:8031,"Meta path:['GDpDpDG', 'GPdPG'], rank is 8 and total rank is 157"
63,G:HGNC:9316,G:HGNC:9305,"Meta path:['GTG'], rank is 55 and total rank is 390"
64,G:HGNC:9316,G:HGNC:25415,"Meta path:['GTG'], rank is 28 and total rank is 385"
65,G:HGNC:15993,G:HGNC:6938,"Meta path:['GTG'], rank is 23 and total rank is 192"
66,G:HGNC:886,G:HGNC:26220,"Meta path:['GTG'], rank is 200 and total rank is 549"
67,G:HGNC:12587,G:HGNC:29594,"Meta path:['GPdPG'], rank is 2 and total rank is 14"
68,G:HGNC:391,G:HGNC:11399,"Meta path:['GTG'], rank is 469 and total rank is 1019"
69,G:HGNC:4637,G:HGNC:16906,"Meta path:['GPdPG'], rank is 2 and total rank is 17"
70,G:HGNC:18485,G:HGNC:17843,"Meta path:['GTG'], rank is 204 and total rank is 424"
71,G:HGNC:362,G:HGNC:363,"Meta path:['GTG'], rank is 7 and total rank is 315"
72,G:HGNC:1133,G:HGNC:3386,"Meta path:['GPdPG'], rank is 6 and total rank is 48"
73,G:HGNC:9302,G:HGNC:9305,"Meta path:['GTG'], rank is 21 and total rank is 553"
74,G:HGNC:29149,G:HGNC:9304,"Meta path:['GTG'], rank is 48 and total rank is 418"
75,G:HGNC:28110,G:HGNC:9300,"Meta path:['GTG'], rank is 33 and total rank is 391"
76,G:HGNC:7063,G:HGNC:4634,"Meta path:['GPdPG'], rank is 4 and total rank is 19"
77,G:HGNC:3391,G:HGNC:6524,"Meta path:['GPdPG'], rank is 27 and total rank is 57"
78,G:HGNC:4637,G:HGNC:7063,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
